








,Timestamp: 2026-01-31 14:13:14
,control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on,group_id,group_name,division_id,division_name,unit_id,unit_name,area_id,area_name,sector_id,sector_name,segment_id,segment_name,function_id,function_name,l0_location_id,l0_location_name,region_id,region_name,sub_region_id,sub_region_name,country_id,country_name,company_id,company_short_name,control_owner,control_owner_gpn,control_instance_owner_role,control_administrator,control_administrator_gpn,control_delegate,control_delegate_gpn,control_assessor,control_assessor_gpn,is_assessor_control_owner,sox_relevant,ccar_relevant,bcbs239_relevant,ey_reliant,sox_rationale,local_functional_information,kpci_governance_forum,financial_statement_line_item,it_application_system_supporting,additional_information_on_deactivation,control_created_by,control_created_by_gpn,control_created_on,last_control_modification_requested_by,last_control_modification_requested_by_gpn,last_modification_on,control_status_date_change,category_flags,sox_assertions,risk_themes,risk_theme_taxonomy_numbers,risk_theme_numbers,related_function_ids,related_function_names,related_functions_comments,related_location_ids,related_location_names,related_locations_comments
,CTRL-8934927891,Regulatory Change Impact Assessment Control - Investment Bank,This control ensures regulatory change impact assessment - investment bank requirements are met with proper documentation.,True,Level 1,nan,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory change impact assessment control - investment bank.",2022-03-07,False,nan,Active,2022-03-07,nan,nan,Last reviewed on 2024-04-16. Control operating effectively.,2024-04-16 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SB,UK & Ireland,C782,United Kingdom,2100,UBS AG London Branch,Christopher Weber,25458308,Director,Emma Chen,33068427,Margaret King,58567046,Isabella Thompson,24208709,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Technology Committee,Derivatives,Internal System,nan,Elizabeth Moore,54703713,2022-02-17,William Davis,36025314,2024-04-16,2024-04-16,"Financial Reporting Control, CCAR Control, BCBS239 Control",Valuation,"Regulatory Compliance, Outsourcing Risk","5, 2","5.1, 2.2","N20113, N14963","Investment Advisory, Deal Execution",Control applies to multiple functions within Investment Bank.,"1000, 4200, 4100","UBS AG Zurich, UBS AG Singapore Branch, UBS AG Hong Kong Branch",Control deployed across Europe Middle East Africa region.
,CTRL-7887950851,Regulatory Examination Response Control - Investment Bank,This control ensures regulatory examination response - investment bank requirements are met with proper documentation.,True,Level 1,nan,Detective,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory examination response control - investment bank.",2022-07-30,True,2022-08-29,Active,2022-07-30,nan,nan,Last reviewed on 2024-10-23. Control operating effectively.,2024-10-23 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SCH,Switzerland,C756,Switzerland,1000,UBS AG Zurich,Maria Weber,20298660,Business Manager,Margaret White,72104107,nan,nan,nan,nan,False,False,False,False,False,nan,nan,Risk Committee,Loans,nan,nan,Brian Taylor,53154591,2022-07-08,Joshua Martinez,70468188,2024-10-23,nan,"SOX Control, Manual Control, CCAR Control",nan,"Regulatory Change, Legal Risk, Operational Resilience","5, 5, 6","5.3, 5.2, 6.3",N20113,Investment Advisory,Control applies to multiple functions within Investment Bank.,"4300, 3100, 3200","UBS Securities Japan Co Ltd, UBS Securities LLC, UBS Financial Services Inc",Control deployed across Europe Middle East Africa region.
,CTRL-4466589567,Front Running Detection Control - Group Functions,This control manages front running detection - group functions to ensure appropriate employee behavior.,False,Level 1,nan,1st Line Detective,Manual,Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for front running detection control - group functions.",2022-05-12,True,nan,Active,2022-05-12,nan,nan,Last reviewed on 2024-11-23. Control operating effectively.,2024-11-23 00:00:00,N00000,All Functions,N40000,Group Functions,N40300,Group Compliance,N40310,Regulatory Compliance,N40311,Financial Crime,N40312,AML Operations,N40313,Transaction Monitoring,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SCH,Switzerland,C756,Switzerland,1000,UBS AG Zurich,Nancy Martinez,56952151,Senior Analyst,Patricia Rodriguez,89865081,Isabella Fischer,85017250,Thomas Wang,27152188,False,True,True,False,True,Control is SOX relevant due to impact on financial reporting for Group Functions.,Local requirements for Switzerland operations.,Compliance Committee,Revenue,Internal System,nan,Linda Kumar,12446861,2022-04-17,nan,nan,2024-11-23,nan,"BCBS239 Control, Automated Control, CCAR Control, SOX Control",Presentation and Disclosure,"Market Conduct, Sanctions Compliance","4, 3","4.2, 3.3",N40313,Transaction Monitoring,Control applies to multiple functions within Group Functions.,"2100, 4100, 1000","UBS AG London Branch, UBS AG Hong Kong Branch, UBS AG Zurich",Control deployed across Europe Middle East Africa region.
,CTRL-8429141456,Product Appropriateness Review Control - Group Functions,This control ensures that product appropriateness review - group functions is performed according to established procedures.,False,Level 1,nan,1st Line Detective,IT Dependent Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for product appropriateness review control - group functions.",2023-12-14,True,2024-01-13,Active,2023-12-14,nan,nan,Last reviewed on 2023-12-06. Control operating effectively.,2023-12-06 00:00:00,N00000,All Functions,N40000,Group Functions,N40400,Group Finance,N40410,Financial Reporting,N40411,Regulatory Reporting,N40412,Capital Reporting,N40413,Capital Calculations,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SCH,Switzerland,C756,Switzerland,1000,UBS AG Zurich,Alexander Kumar,86560394,Director,Barbara Weber,61254050,Joshua Martin,31751079,nan,nan,False,False,True,False,False,nan,Local requirements for Switzerland operations.,Compliance Committee,Trading Assets,nan,nan,Michael Brown,96057593,2023-11-19,nan,nan,2023-12-06,2023-12-06,Regulatory Control,nan,"Client Suitability, Third Party Management, Outsourcing Risk","4, 2, 2","4.3, 2.1, 2.2",N14963,Deal Execution,Control applies to multiple functions within Group Functions.,"4300, 3200","UBS Securities Japan Co Ltd, UBS Financial Services Inc",Control deployed across Europe Middle East Africa region.
,CTRL-3303082117,Enhanced Due Diligence Control - Investment Bank,This control monitors enhanced due diligence - investment bank activities to detect and prevent financial crime.,False,Level 1,nan,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for enhanced due diligence control - investment bank.",2022-01-15,False,nan,Active,2022-01-15,nan,nan,Last reviewed on 2023-02-24. Control operating effectively.,2023-02-24 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,David Wright,28628439,Director,Matthew Smith,20633503,Emma Mueller,38944689,Charlotte Thompson,24923247,True,True,True,False,False,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Audit Committee,Loans,Internal System,nan,Margaret King,18429833,2021-12-16,nan,90092958,2023-02-24,2023-02-24,"CCAR Control, Regulatory Control","Existence, Presentation and Disclosure, Valuation, Completeness",Financial Crime Prevention,3,3.1,"N40113, N14963, N10122","Control Testing, Deal Execution, Options Trading",Control applies to multiple functions within Investment Bank.,"4100, 2100, 3200","UBS AG Hong Kong Branch, UBS AG London Branch, UBS Financial Services Inc",Control deployed across Asia Pacific region.
,CTRL-2625792787,Policy Attestation Control - Group Functions,This control ensures policy attestation - group functions requirements are met with proper documentation.,False,Level 1,nan,Detective,IT Dependent Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for policy attestation control - group functions.",2022-02-12,True,nan,Active,2022-02-12,nan,nan,Last reviewed on 2023-02-03. Control operating effectively.,2023-02-03 00:00:00,N00000,All Functions,N40000,Group Functions,N40300,Group Compliance,N40310,Regulatory Compliance,N40311,Financial Crime,N40312,AML Operations,N40313,Transaction Monitoring,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SB,UK & Ireland,C782,United Kingdom,2100,UBS AG London Branch,Barbara Wright,94790150,Team Lead,Lucas Jones,71428713,nan,nan,Oliver Weber,37057085,False,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Operating Committee,Deposits,Bloomberg,nan,Kevin Wright,43999198,2022-02-03,nan,48401154,2023-02-03,nan,Financial Reporting Control,"Completeness, Cutoff, Valuation","Regulatory Change, Cyber and Information Security","5, 1","5.3, 1.2","N40113, N40213","Control Testing, DevOps",Control applies to multiple functions within Group Functions.,"4100, 2210","UBS AG Hong Kong Branch, UBS Europe SE Frankfurt",Control deployed across Europe Middle East Africa region.
,CTRL-7665963761,Business Continuity Plan Testing Control - Group Functions,This control ensures business continuity plan testing - group functions capabilities are maintained and tested.,True,Level 1,nan,1st Line Detective,Automated,Weekly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for business continuity plan testing control - group functions.",2022-05-22,True,nan,Active,2022-05-22,nan,nan,Last reviewed on 2025-05-31. Control operating effectively.,2025-05-31 00:00:00,N00000,All Functions,N40000,Group Functions,N40200,Group Technology,N40210,Infrastructure,N40211,Cloud Services,N40212,Platform Engineering,N40213,DevOps,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C392,Japan,4300,UBS Securities Japan Co Ltd,John Thompson,46850196,Business Manager,William Harris,58762794,Joshua Wilson,14179623,nan,nan,False,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Technology Committee,Revenue,Murex,nan,William Jackson,96592295,2022-05-19,nan,nan,2025-05-31,2025-05-31,"Application Control, Financial Reporting Control","Classification, Cutoff, Existence","Business Continuity, Anti-Money Laundering","6, 3","6.1, 3.2","N14963, N40313, N30113","Deal Execution, Transaction Monitoring, Portfolio Management",Control applies to multiple functions within Group Functions.,"4100, 4300","UBS AG Hong Kong Branch, UBS Securities Japan Co Ltd",Control deployed across Asia Pacific region.
,CTRL-8995970241,Change Management Approval Control - Global Wealth Management,This control ensures that change management approval - global wealth management processes are executed according to established procedures.,False,Level 1,nan,1st Line Detective,IT Dependent Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - global wealth management.",2022-11-05,True,2022-12-05,Active,2022-11-05,nan,nan,Last reviewed on 2025-03-03. Control operating effectively.,2025-03-03 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20200,High Net Worth,N20210,Wealth Planning,N20211,Tax Advisory,N20212,Estate Planning,N20213,Trust Services,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3100,UBS Securities LLC,Matthew Garcia,52894344,Senior Analyst,William Weber,50259503,Henry Anderson,58518659,nan,nan,False,False,False,False,False,nan,nan,Risk Committee,Trading Assets,nan,nan,Lucas Jackson,76306502,2022-10-19,nan,59514418,2025-03-03,nan,"Automated Control, SOX Control",nan,Technology Production Stability,1,1.1,N20213,Trust Services,Control applies to multiple functions within Global Wealth Management.,"4300, 3200","UBS Securities Japan Co Ltd, UBS Financial Services Inc",Control deployed across Americas region.
,CTRL-3479708607,Data Quality Validation Control - Group Functions,This control ensures data integrity through data quality validation - group functions.,True,Level 1,nan,Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for data quality validation control - group functions.",2022-07-25,True,2022-08-24,Active,2022-07-25,nan,nan,Last reviewed on 2025-11-25. Control operating effectively.,2025-11-25 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Jessica Weber,20584397,Senior Analyst,Alexander Schmidt,26800072,nan,nan,nan,nan,False,False,True,False,False,nan,nan,Compliance Committee,Deposits,SAP,nan,Joshua Wilson,89431184,2022-07-10,Charlotte Wilson,91220369,2025-11-25,nan,Key Control,nan,"Data Management, Third Party Management, Conduct Risk","1, 2, 4","1.3, 2.1, 4.1",N10112,Electronic Trading,Control applies to multiple functions within Group Functions.,"3200, 4100, 2210","UBS Financial Services Inc, UBS AG Hong Kong Branch, UBS Europe SE Frankfurt",Control deployed across Asia Pacific region.
,CTRL-4026113008,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,True,Level 1,nan,2nd Line Detective,Automated,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2021-09-06,False,nan,Active,2021-09-06,nan,nan,Last reviewed on 2024-09-10. Control operating effectively.,2024-09-10 00:00:00,N00000,All Functions,N40000,Group Functions,N40400,Group Finance,N40410,Financial Reporting,N40411,Regulatory Reporting,N40412,Capital Reporting,N40413,Capital Calculations,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,John Harris,27551135,Senior Analyst,Joshua Miller,52831009,nan,nan,nan,nan,False,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Technology Committee,Trading Assets,Murex,nan,Benjamin Brown,48951595,2021-08-16,Margaret Martin,nan,2024-09-10,2024-09-10,"Financial Reporting Control, Automated Control","Valuation, Rights and Obligations","Organizational Culture, Technology Production Stability, Regulatory Change","7, 1, 5","7.2, 1.1, 5.3","N40213, N40413, N20213","DevOps, Capital Calculations, Trust Services",Control applies to multiple functions within Group Functions.,"2100, 4300","UBS AG London Branch, UBS Securities Japan Co Ltd",Control deployed across Asia Pacific region.
,CTRL-9786748825,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,False,Level 2,CTRL-7825844140,2nd Line Detective,Automated,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2021-12-25,False,2022-01-24,Active,2021-12-25,nan,nan,Last reviewed on 2023-04-14. Control operating effectively.,2023-04-14 00:00:00,N00000,All Functions,N40000,Group Functions,N40300,Group Compliance,N40310,Regulatory Compliance,N40311,Financial Crime,N40312,AML Operations,N40313,Transaction Monitoring,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C392,Japan,4300,UBS Securities Japan Co Ltd,Alexander Kumar,84252324,Senior Analyst,William White,77680031,Matthew Schmidt,93650068,Margaret Davis,27268907,True,False,False,False,False,nan,nan,Operating Committee,Deposits,Calypso,nan,Charlotte Taylor,90861208,2021-12-23,Joshua Williams,nan,2023-04-14,nan,"Application Control, Manual Control, Automated Control",nan,Intragroup Dependencies,2,2.3,N40413,Capital Calculations,Control applies to multiple functions within Group Functions.,"1000, 4300, 3200","UBS AG Zurich, UBS Securities Japan Co Ltd, UBS Financial Services Inc",Control deployed across Asia Pacific region.
,CTRL-5728765136,Blocked Transaction Review Control - Investment Bank,This control ensures that blocked transaction review - investment bank is performed according to established procedures.,False,Level 2,CTRL-7635473142,Preventative,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for blocked transaction review control - investment bank.",2022-11-27,True,2022-12-27,Active,2022-11-27,nan,nan,Last reviewed on 2025-09-30. Control operating effectively.,2025-09-30 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Nancy Moore,16892773,Managing Director,Andrew Wilson,80361272,Margaret White,29834119,Evelyn Williams,86849080,True,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Operating Committee,Loans,Murex,nan,Christopher Thomas,65079923,2022-11-09,Margaret Wright,18359252,2025-09-30,2025-09-30,"Manual Control, Financial Reporting Control","Cutoff, Valuation, Completeness, Rights and Obligations","Sanctions Compliance, Operational Resilience, Conduct Risk","3, 6, 4","3.3, 6.3, 4.1","N30113, N40313, N40413","Portfolio Management, Transaction Monitoring, Capital Calculations",Control applies to multiple functions within Investment Bank.,"3200, 4300, 3100","UBS Financial Services Inc, UBS Securities Japan Co Ltd, UBS Securities LLC",Control deployed across Asia Pacific region.
,CTRL-6488854841,Sanctions Alert Investigation Control - Global Wealth Management,This control ensures that sanctions alert investigation - global wealth management is performed according to established procedures.,False,Level 2,CTRL-2812140441,1st Line Detective,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for sanctions alert investigation control - global wealth management.",2023-12-07,True,2024-01-06,Active,2023-12-07,nan,nan,Last reviewed on 2025-09-28. Control operating effectively.,2025-09-28 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20100,Ultra High Net Worth,N20110,Private Banking,N20111,Client Advisory,N20112,Portfolio Management,N20113,Investment Advisory,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Isabella Li,69374716,Senior Analyst,Andrew Thomas,37121108,nan,nan,nan,nan,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Global Wealth Management.,nan,Compliance Committee,nan,Calypso,nan,Lucas Miller,92634772,2023-11-14,Evelyn Jackson,nan,2025-09-28,2025-09-28,"BCBS239 Control, Key Control",Cutoff,"Sanctions Compliance, Financial Crime Prevention, Transaction Processing","3, 3, 8","3.3, 3.1, 8.2","N40213, N10122","DevOps, Options Trading",Control applies to multiple functions within Global Wealth Management.,"1000, 2100, 3200","UBS AG Zurich, UBS AG London Branch, UBS Financial Services Inc",Control deployed across Americas region.
,CTRL-2566942273,Compliance Training Completion Control - Investment Bank,This control ensures compliance training completion - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-4026113008,Detective,IT Dependent Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - investment bank.",2021-10-29,False,2021-11-28,Active,2021-10-29,nan,nan,Last reviewed on 2023-05-02. Control operating effectively.,2023-05-02 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,David Williams,11243818,Senior Analyst,Brian Miller,54968591,nan,nan,David King,96075494,False,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Investment Bank.,Local requirements for Singapore operations.,Compliance Committee,Loans,Calypso,nan,Alexander Davis,54383668,2021-10-19,nan,nan,2023-05-02,nan,"Key Control, Financial Reporting Control","Rights and Obligations, Completeness, Presentation and Disclosure","Regulatory Change, Organizational Culture, Intragroup Dependencies","5, 7, 2","5.3, 7.2, 2.3","N40113, N40413, N30113","Control Testing, Capital Calculations, Portfolio Management",Control applies to multiple functions within Investment Bank.,4200,UBS AG Singapore Branch,Control deployed across Asia Pacific region.
,CTRL-6884882440,Compliance Training Completion Control - Investment Bank,This control ensures compliance training completion - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-7887950851,1st Line Detective,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - investment bank.",2021-05-24,True,nan,Active,2021-05-24,nan,nan,Last reviewed on 2024-06-18. Control operating effectively.,2024-06-18 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SCH,Switzerland,C756,Switzerland,1000,UBS AG Zurich,Joshua Fischer,25759274,Senior Analyst,Maria Moore,39410942,nan,nan,nan,nan,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Technology Committee,nan,Reuters,nan,Maria Martin,83717007,2021-05-23,Kevin Thomas,89968863,2024-06-18,2024-06-18,Manual Control,"Accuracy, Existence, Presentation and Disclosure, Cutoff",Regulatory Change,5,5.3,N40313,Transaction Monitoring,Control applies to multiple functions within Investment Bank.,"3100, 3200, 4200","UBS Securities LLC, UBS Financial Services Inc, UBS AG Singapore Branch",Control deployed across Europe Middle East Africa region.
,CTRL-3783290795,Conflicts of Interest Review Control - Investment Bank,This control ensures that conflicts of interest review - investment bank is performed according to established procedures.,False,Level 2,CTRL-4163119785,Preventative,Automated,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for conflicts of interest review control - investment bank.",2023-04-25,False,nan,Active,2023-04-25,nan,nan,Last reviewed on 2023-07-06. Control operating effectively.,2023-07-06 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C344,Hong Kong,4100,UBS AG Hong Kong Branch,Harper Jones,16078694,Director,John Jones,82633735,nan,nan,Sophia Jones,73360324,False,True,False,True,False,Control is SOX relevant due to impact on financial reporting for Investment Bank.,Local requirements for Hong Kong operations.,Technology Committee,Derivatives,Bloomberg,nan,Matthew White,60418290,2023-04-09,nan,82383656,2023-07-06,nan,"SOX Control, CCAR Control, IT General Control","Rights and Obligations, Cutoff","Legal Risk, Technology Change Management, Process Execution","5, 1, 8","5.2, 1.4, 8.1",N10112,Electronic Trading,Control applies to multiple functions within Investment Bank.,"4300, 4100","UBS Securities Japan Co Ltd, UBS AG Hong Kong Branch",Control deployed across Asia Pacific region.
,CTRL-4131575764,Investment Recommendation Documentation Control - Group Functions,This control ensures that investment recommendation documentation - group functions is performed according to established procedures.,True,Level 2,CTRL-8429141456,Preventative,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for investment recommendation documentation control - group functions.",2020-11-22,True,2020-12-22,Active,2020-11-22,nan,nan,Last reviewed on 2024-01-22. Control operating effectively.,2024-01-22 00:00:00,N00000,All Functions,N40000,Group Functions,N40300,Group Compliance,N40310,Regulatory Compliance,N40311,Financial Crime,N40312,AML Operations,N40313,Transaction Monitoring,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Sophia Jackson,15937353,Director,Matthew Moore,82445335,nan,nan,nan,nan,False,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Group Functions.,Local requirements for Singapore operations.,Risk Committee,Trading Assets,Reuters,nan,David Moore,87324220,2020-11-13,nan,53038943,2024-01-22,nan,"Manual Control, BCBS239 Control","Presentation and Disclosure, Valuation, Existence, Classification","Client Suitability, Financial Crime Prevention, Legal Risk","4, 3, 5","4.3, 3.1, 5.2","N14963, N40113, N40213","Deal Execution, Control Testing, DevOps",Control applies to multiple functions within Group Functions.,4100,UBS AG Hong Kong Branch,Control deployed across Asia Pacific region.
,CTRL-5996775663,Policy Attestation Control - Group Functions,This control ensures policy attestation - group functions requirements are met with proper documentation.,False,Level 2,CTRL-8934927891,Detective,Automated,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for policy attestation control - group functions.",2021-02-05,True,2021-03-07,Active,2021-02-05,nan,nan,Last reviewed on 2025-08-27. Control operating effectively.,2025-08-27 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C344,Hong Kong,4100,UBS AG Hong Kong Branch,Maria Garcia,81891784,Team Lead,Sophia Schmidt,60622628,nan,nan,nan,nan,False,False,False,True,False,nan,nan,Compliance Committee,Revenue,nan,nan,William Taylor,88864147,2021-01-11,Karen Thomas,nan,2025-08-27,2025-08-27,"Regulatory Control, Key Control, BCBS239 Control",nan,"Regulatory Compliance, Third Party Management, Sanctions Compliance","5, 2, 3","5.1, 2.1, 3.3",N10122,Options Trading,Control applies to multiple functions within Group Functions.,"4300, 2210, 4100","UBS Securities Japan Co Ltd, UBS Europe SE Frankfurt, UBS AG Hong Kong Branch",Control deployed across Asia Pacific region.
,CTRL-6924716023,Security Patch Management Control - Global Wealth Management,This control ensures that security patch management - global wealth management is performed according to established procedures.,False,Level 2,CTRL-5710360983,1st Line Detective,Automated,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for security patch management control - global wealth management.",2021-08-15,True,2021-09-14,Active,2021-08-15,nan,nan,Last reviewed on 2025-08-12. Control operating effectively.,2025-08-12 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20100,Ultra High Net Worth,N20110,Private Banking,N20111,Client Advisory,N20112,Portfolio Management,N20113,Investment Advisory,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Daniel Martinez,12176998,Senior Analyst,Karen Martin,49620038,Charlotte Taylor,54273769,nan,nan,False,False,False,False,False,nan,nan,Compliance Committee,Trading Assets,Bloomberg,nan,Karen Wang,44537812,2021-08-02,Susan Lopez,nan,2025-08-12,2025-08-12,"CCAR Control, Automated Control, Application Control",nan,Physical Security,6,6.2,N40313,Transaction Monitoring,Control applies to multiple functions within Global Wealth Management.,"2100, 3200, 4300","UBS AG London Branch, UBS Financial Services Inc, UBS Securities Japan Co Ltd",Control deployed across Asia Pacific region.
,CTRL-3392080953,Regulatory Change Impact Assessment Control - Investment Bank,This control ensures regulatory change impact assessment - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-7665963761,2nd Line Detective,Automated,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory change impact assessment control - investment bank.",2023-07-23,True,2023-08-22,Active,2023-07-23,nan,nan,Last reviewed on 2023-05-20. Control operating effectively.,2023-05-20 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SB,UK & Ireland,C782,United Kingdom,2100,UBS AG London Branch,Jessica Schmidt,81905550,Senior Analyst,Emma Thompson,34060788,nan,nan,nan,nan,False,False,False,False,False,nan,nan,Risk Committee,Deposits,Murex,nan,Evelyn Taylor,93185576,2023-07-15,John Schmidt,20605783,2023-05-20,nan,"Application Control, BCBS239 Control, Manual Control, CCAR Control",nan,Regulatory Compliance,5,5.1,"N10122, N10112, N40413","Options Trading, Electronic Trading, Capital Calculations",Control applies to multiple functions within Investment Bank.,"4200, 3100","UBS AG Singapore Branch, UBS Securities LLC",Control deployed across Europe Middle East Africa region.
